"","id. Response_ID","GamesAsArt?Y/N","DescriptionOfExperience","GameTitle","WhyIsThisExperienceArt?","LongAgo. How_long_ago_di.._","PlayedBefore. Have_you_played.._","TimeToExperience. Where_in_the_ga.._","TimeToExperience[other]. Where_in_the_ga..__[Other]","Meaning. Thinking_back_t.._","EffectOnGameYN. Did_this_experi.._","effectongame. Please_elaborate:","EffectPersonalYN. Did_this_experi.._","effectpersonal. Please_elaborate:","EffectOnMediumYN. Did_this_experi.._","EffectOnMedium. Please_explain_.._","IntentionYN. Do_you_think_yo.._","Intention. Please_explain_.._","EXPInOtherArtYN. Did_you_ever_ex.._","ExpInOtherArtType. What_form_of_me.._","ExpInOtherArtType[other]. What_form_of_me..__[Other]","ExpInOtherArt. Please_describe.._","NoExperienceYN. Do_you_think_di.._","NoExperience. Please_explain_.._","FavGames[Fav1]. Please_name_up_..__[1]","FavGames[Fav2]. Please_name_up_..__[2]","FavGames[Fav3]. Please_name_up_..__[3]","FavGames[Fav4]. Please_name_up_..__[4]","FavGames[Fav5]. Please_name_up_..__[5]"
"11",27,"Yes","the experience was one of curiosity, uncertainty and puzzeling. i felt calmness, clarity and beauty. at first i did not know what to expect exactly, but with time, i learned that this was part of the experience. moving around pieces of art made me feel as if i am part of the art, i felt, the art was part of the interaction: everything came to live through my interaction, which made me feel part of it.","gorogoa","- the richness of pictures/drawings.
- there was almost no text
- it was me who made the art come together","1-2 years ago","No","Other","allover: what ""form"" of art i was experiencing changed over time","it meant, that puzzle games and art have something in common","Yes","gorogoa plays with what is ""the whole"" and ""what are its parts""","Yes","i learned that i can see parts of me and the world in art","Yes","i learned, that for conveying a point, calmness sometimes is a must","No","because game designers werent their target audience","N/A",NA,NA,NA,"N/A",NA,"zelda botw","super mario odyssey","old mans journey","gorogoa","the bridge"
"12",36,"Yes","One of the most immersive and intense game experiences I've had was while playing Subnautica. From the very start of the game (crash landing alone on an alien water planet), I truly felt emotions through my character. The game's illustrations, sounds, music, and narrative elements all evoked these emotions. At first I felt the loneliness, hopelessness, and panic: terrified of the horrors that I might encounter in the deep ocean if I ventured too far from my escape pod. I saw the edge of the shallow reef, at first too scared to dive deeper. I heard the chilling cries of large sea creatures echoing in the distance. But the game is about pushing your limits. Eventually I gained the equipment and confidence needed to progress to the next deeper, more dangerous area, but there was never a ""comfortable"" moment. Aside from the audio/visual elements, there is also a mystery about the planet that unfolds as you progress. The story is told through non-traditional narrative elements: your character receives clues and information about the mystery of the planet through scraps of recordings and artifacts, not through direct narration or dialogue. All these elements together kept me on the edge of my seat, adrenaline rushing, like I was truly there.","Subnautica","For a game experience to feel like a work of art to me, it would usually be an immersive experience that creates a real emotional response. Since games accomplish this through a combination of illustration, animation, sound, music, storytelling elements all together, I would consider these types of experiences art.","1-2 years ago","No","During the general gameplay",NA,"It changed my perspective on what video games can be in terms of immersion and evoking emotional response. Even though I had played other games I would consider immersive, in those other games I still felt emotionally detached from my character and the game as a whole. In Subnautica because of the way the art/sounds/narrative are all presented, I felt like I was actually in the game. It was a very unique experience.","Yes","Yes, I think Subnautica is a great and creative game.","Yes","The game makes you face your fears!","Yes","Yes, it opened my eyes to the many different ways games can be immersive, not just through art. It can be done through game mechanics / sound / music / and presenting the narrative.","Yes","I hope so! The game was beautiful and well thought out. I think there are some ongoing optimization issues with the game since it was released from early access, but the developers have worked to fix them.","N/A",NA,NA,NA,"N/A",NA,"The Witcher 3","Skyrim","Stardew Valley","Subnautica","Portal"
"13",37,"Yes","I finished the main character’s arc and was moved by the way he grew as a character over the course of the game and how being terminally ill affected his outlook. I developed a real emotional connection with him over the course of the game, and was moved to tears by his redemption and death. It made me think of my own life and how similar I am to the character, and how brutal life in the Old West really was.","Red Dead Redemption 2","It had a profound emotional impact on me which I can still feel to this day, and it made me consider aspects of the human condition which I previously hadn’t. I found the impact to be greater than many books I’ve read and films I’ve watched, because of the unique aspect of actually controlling the character in his journey.","2-11 months ago","Yes","During the general gameplay",NA,"It meant that in watching Arthur’s redemption arc play out and guiding him through it, I was seeing myself in him and trying to figure out how I might apply what the game taught me to my own life.","Yes","Before I played through the story, I thought it was just a violent shooter game, but I realized how beautiful, artistic, and complex it really is.","Yes","I developed a real bond with the main character over the course of the game, and I felt a bit of grief when he died. Since Arthur doesn’t believe that he’s a good person and only starts to after he gets TB and is faced with death, it made me wonder if I have the same way of thinking. The game showed me that everyone has inner complexity which will inevitably show itself.","Yes","I now see them as a potential platform for creating works of visual art as well as literature, and a valid entertainment medium which should be destigmatized.","Yes","It’s clear that a lot of talent went into this game, especially the story. The experiences you have with Arthur even from the first chapter draw you into his inner world, which makes his end all the more poignant.","N/A",NA,NA,NA,"N/A",NA,"Red Dead Redemption 2","Crusader Kings 2","Minecraft",NA,NA
"14",38,"Yes","The purpose of the game was communicated entirely nonverbally, so although you never knew exactly the goal you were working towards, you felt a lot of drive to reach it. The player connects with the environment deeply, as well as with other players, without ever speaking or hearing a word.","Journey","In my opinion, art is a form of communicating emotion in abstract ways, whether through a painting or a piece of music. This game was an incredibly emotional journey that I felt very connected to despite never being told what to feel.","2-10 years ago","No","During the general gameplay",NA,NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,NA,NA,"N/A",NA,"Stardew Valley","Legend of Zelda franchise","Dragon Quest Builders","The Witness","Journey"
"15",41,"Yes","When you take in consideration the music, the graphic design, the writing, and of course the gameplay. Its in games like this when you are aware of be playing an artwork, rather than just another game.","Disco elysium","All the parts of the game when considered as a whole. When you take in consideration the music, the graphic design, the writing, and of course the gameplay. Its in games like this when you are aware of be playing an artwork, rather than just another game.","2-11 months ago","No","During the general gameplay",NA,"It meant after all this years playing video games I still can find myself in awe and admiration facing a new game experience.","Yes","It made me realize what I was playing was no ordinary game but a masterpiece, those are the games that evoke feelings on you, that entangles you within its story, its setup, characters, etc..","Yes","It widened my perspective on storytelling. The way this game presents the protagonist life its unique, and makes you consider aspects of your psyque and phisique.","Yes","Well it made me like them more","Yes","Its obvious that the deligthful game experience this piece brings wasnt unintendend.","N/A",NA,NA,NA,"N/A",NA,"Morrowind.","Mass effect","Broken sword","Day of tentacle","Dota 2"
"16",44,"Yes","Well the video game was centred on the question “what makes us human” and the game had a lot of philosophy, and even some of the characters had famous philosophers names. Also the beauty of the world I was put in felt so old and sad with hidden areas of beauty along with some bangin’ music","NieR automata","Well it differed from a lot of other games. Instead of a game about just reaching your goal, this game made you question why you were reaching your goal, everything had a meaning. I’ve played lots of games but that was the first one that made me think about my actions throughout the game","2-11 months ago","Yes","During the general gameplay",NA,"I think it was a way of saying that it was a game that really stepped outside of the box. The creator of the game talked about how he disliked unnecessary violence, so he made a game that had that, but you could also choose wether or not you wanted to destroy everything in your path or not (which has been done before, apparently Undertale has something like that also) but I 10/10 think this game is more impactful","Yes","Well at first it seemed like a cool game with many different styles throughout the game, but near the middle you start to see that the things that you are killing is trying to have emotions similar to humans, and that you’re kinda killing them because it’s fun","Yes","Some of the characters that you can decide to kill have names of different philosophers such as Pascal. There’s also references to Karl Marx, Emmanuel kant, Ernst Jünger, and a l o t more but that surprised me so much and I basically ranted about it for days how amazing the game is","Yes","Before I never really thought about everything when I was playing a game but now I feel like there’s a secret hidden meaning in a lot of games","Yes","There were a lot of interviews with the developer where he talked about how he wanted to make an absolute banger of a game, and wanted it to be different from any other game, and that was after doing 3 or 4ish games","N/A",NA,NA,NA,"N/A",NA,"Skyrim","Breath of the wild","Hollow knight","Mario Kart","Warframe"
"17",46,"Yes","I consider video games to be ""art"" when the graphics are developed so well that it almost looks realistic. This is especially true when the game takes place in natural spaces, such as a forest or a plateau or a grassy valley. When the game shows the grass blowing in the imaginary breeze with the angle of the sun's rays shining perfectly, that is art. When the colors are vibrant and the color pallet is widely varied, that is art.","Horizon Zero Dawn","The graphics of the game, the story line, and the character development were done so well that I consider it art. The graphics are seemingly flawless, with the sun light angles being presented realistically, the colors are vibrant and varied, the story is compelling, the scenery itself tells a story (with the machine coming our of the mountain)...
","2-10 years ago","No","Other","The entire game",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,NA,NA,"N/A",NA,"Fallout 4","Horizon Zero dawn","Sims 3","Civilization 5","Zelda BOTW"
"18",49,"Yes","Most notably I remember loading into WoW for the first time as an early teen. I felt extremely immersed and in awe of the world. It was incredible to actually be in the world that I had formerly only experiences in an RTS. To be able to interact with a world that was completely familiar but still brand new to me. It was nostalgia for a place I had never been.","World Of Warcraft","Graphics aside, what truly made it art was the emotions and the feelings that it evoked.",">10 years ago","No","During the beginning of the game",NA,"I'm not sure it meant anything. It did elicit emotion.","Yes","It made me want to delve further into the world","Yes","It bonded me to friends, it definitely influenced my world view","Yes","It made me love them","Yes","It absolutely was. They set out to create a universe that they loved and share it with the world through an open world format. Unfortunately the developers got replaced over the years by people who don't love it and the game sucks now.","N/A",NA,NA,NA,"N/A",NA,"World of Warcraft","Skyrim","Overwatch","Assassins Creed","Starcraft"
"19",53,"Yes","I'm a lifelong gamer, but this happened while watching my son play Hollow Knight. The game is a true work of art, from the backgrounds and atmosphere to the musical scores. The game is beautifully drawn and rendered, with so many small details and a true sense of romance and even decay. I've watched him play for hours because it's such a beautiful setting.","Hollow Knight","The fact that each asset was hand drawn in such a unique style.","2-11 months ago","No","Other","the entire game",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,NA,NA,"N/A",NA,"World of Warcraft","Kings Quest (original series)","Myst","Final Fantasy","Lord of the Rings Online"
"20",58,"Yes","at the end of the true (fifth) ending, the ending credits song flows between english, french, and japanese, and slowly fades out as a loud hum of people takes the melody, and it was perhaps the last of many times the game struck me as art, as it so perfectly closes a game that so perfectly imposes and explores questions of human nature in a game with no humans","NieR Automata","The level of depth and complexity of the deeply ingrained philisophical and ethical questions it both poses to the player and explores within its narrative combine in such a way that calling it anything but art is a disservice to what it is","2-11 months ago","No","During the end",NA,NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,NA,NA,"N/A",NA,"NieR Automata","Team Fortress 2","Fire Emblem Thracia 776","Halo 2",NA
"21",59,"Yes","An experience that shows the distortion of time and how we interpret the past. A lesson in how we canwhile dealing woth the morality of archaeology as a field, to whom does the unearthed art of the past belong? Does an institution's moral imperative to preserve outway the rights of thoae living on the land","Heaven's Vault","Art, regardless of media, should provoke an emotional or intellectual reaction. This game provoked both","<2 months ago","No","During the general gameplay",NA,"I think I was engaging with the core themes of the game, in a way I previously had not been","Yes","I had originally been playing solely as a puzzle, but thia caused me to assess the morality of the actions I was taking and also effected how I was approaching the core gameplay loop of interpreting the pictogram script","No","I'm interpreting this question as the experience having a profound impact, ehich I do not believe it did - certainly reinforced my own beliefs and worldview, but no major change I think","No","I already felt that digital games could provoke profound emotional experiences, so did not change how I engage with them.  The best artistic games should have their artistic vision in harmony with their gameplay mechanics","Yes",NA,"N/A",NA,NA,NA,"N/A",NA,"Return of the Obra Dinn","Europa Universalis IV","Hotline Miami","Darkest Dungeon","Viva Pinata"
"22",60,"Yes","For me, art is any medium that conveys an idea or message, or makes the participant experience specific emotions. This game was very philosophical in nature, examining the relationship between good and evil. The game introduces a variety of characters that exemplify either the light side of the force (good) or the dark side (evil) as well as a mentor character whose alignment is somewhere in the middle. 

At one point the mentor character explains that by helping people and taking on their burdens, you are teaching them to rely on other people's generosity for their survival. And one you have left they may actually be worse off. In contrast she also chastises you for overtly evil acts like winton violence.

This part of the game really made me consider the best way we can use our resources to help elevate those in need. Simply giving someone food or shelter is a temporary measure. The true good would come about by empowering those in need and helping them gain the skills and opportunities to care for themselves.","Starwars knights of the old republic 2","Specifically because it made me evaluate how I live my life and the impact I can have on my community. Art is a reflection of life but at the same time makes us reflect on our lives.","2-10 years ago","No","During the general gameplay",NA,"It made me evaluate how to enact positive change that lasts","Yes","I always enjoy when a title leaves you with a message to think about. Sometimes I want more from my games than mindless fun","Yes","It made me think about the long term consequences of my actions and how my decisions carry forward long after I'm gone","Yes","This experience made me start thinking of video games as art (or the possibility of being art) in general.  I also began expecting more from the story in my games","Yes","The dialogue was very deliberate and a major theme in the game is how our choices have long lasting consequences, what we do impacts far into the future.","N/A",NA,NA,NA,"N/A",NA,"Knights of the old republic 2","Fallout New Vegas","Mass Effect","Witcher 3",NA
"23",62,"Yes","All games are a form of art, to pick just one instance is really difficult, so I will just tell what my most resent gaming experience was. 
Just after starting the game I was greeted by an UI which was well crafted to combine functionality with design around the theme of the game.
During the loading screen which was an artwork there was a short bit of narrated information like you would find in a museum about Chinese history. 
Then I was thrown onto an artistic map of china with many details and sights. The map instantly sparked my curiosity about so many sights I never new of as I wasn't very familiar with. The craftsmanship at hand was great as it can't be easy to combine history, functionality and visual beauty in such a way.  
","Total War: Three Kingdoms","It managed to spark my curiosity while being visually pleasing.","<2 months ago","No","During the beginning of the game",NA,"Art doesn't have to have a meaning","Yes","It was a great first impression, can't wait to play more when I'm at home","Yes","I want to learn more about Chinese history","No","It just reassured my feelings","Yes",NA,"N/A",NA,NA,NA,"N/A",NA,"Battlefield Series","Total War Series","Crysis Series","Sacred","Gran Turismo"
"24",66,"Yes","The first game I experienced as a work of art had a cavalcade of sensory expression. The music, environment, and theming made the game immersive but it was still very much a game and the playability made it that much more engaging. I think art is a form of perfect expression and games are certainly capable of this while still maintaining their function.","Rain","The way that the music, colour palette, and ambiance enhanced the game mechanics. It also featured classical piano pieces that I think added to the artistic feel. I don't think it's enough for a game to simply ""look good"" or ""look real"". I think, like art, there's a craft to providing a sensory experience that moves the viewer to connect with the art.","2-10 years ago","No","During the beginning of the game",NA,"It opened my mind to experience more games as art.","Yes","It gave me an understanding that there could be a true art to gaming while still preserving the game-like function. Rain was both aesthetically gorgeous and a solid, fun game experience.","Yes","It made me judge all games a little harsher. I looked for more well thought out theming or well-crafted elements in games I picked up.","Yes","I think games have the ability to elicit emotional responses much like any painting or opera. But not all games have to fit this. The core of gaming is to remain first and foremost a game. If it's not entertaining or compelling, it's not really a game. But it opens the possibility that games CAN be art with the elements available. Since playing Rain, I have seen this in more recent games as well.","Yes","Every choice was intentional. You hit the crescendo of Moonlight Sonata just as the character splashes onto a beautiful, painterly back and foreground that reveals more of the playable area. The aesthetic of this is finely crafted into every aspect of the game.","N/A",NA,NA,NA,"N/A",NA,"Animal Crossing","Civilization","Darkest Dungeon","Phoenix Wright Ace Attorney","Katamari"
"25",67,"Yes","I remember the game to be so warm at moments, I loved how they mixed all components so well, the music, the colors, the atmosphere, it made me feel as if a was in a movie, the plot was also very good, for me it was unexpected, I also loved the duality of the game as warm as it was it was also dark  and cold","Life is strange","I think it was the perfect combination of the atmosphere, colors, story and most importantly the soundtrack, I still listen to some of the songs of that soundtrack","2-10 years ago","No","During the general gameplay",NA,"It was just like an indie revelation","Yes","As I advanced in the game my interest for it increased and you begin to notice more and more details that at the end made me love the game","Yes","I became an indie fan, I have heard those songs ever since","No","I think a lot of games are art, they make us feel emotions and for me that's exactly what art does","Yes","It had so much detail in it, that it's impossible that it wasn't intended, it must have taken a lot of work either","N/A",NA,NA,NA,"N/A",NA,"Minecraft","The Sims","Halo","Undertale","Life is strange"
"26",74,"Yes","Most recently the metal gear solid series of games, the in depth story can be experienced in the same way as a movie or book but in a way which is actively engaging (I. E. The gameplay elements)","Metal gear solid 5","I consider books, movies and other storytelling mediums as art, I played the game for the story","<2 months ago","No","Other","Throughout the game, I had played the previous titles in the series and had certain expectations as I went in",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,NA,NA,"N/A",NA,"Metal gear solid 5","Divinity original sin2","Crash bandicoot 3","Dishonoured",NA
"27",75,"Yes","The whole game, really, feels like an art piece to me. The world is built and realized so beautifully. Each area of the game is distinct and evokes some kind of feeling - anxiety, calm, happiness, nostalgia. Each area has beautiful, distinct music. Colour is also used to differentiate the areas. The mood is crafted carefully and very successfully. It really is easy to get lost just exploring the world and learning about it. The writing is probably even better, to be honest. The game never tells you outright what happened to the world or what's really going on. Instead it leaves little clues, lore tablets, pieces of dialogue, or characters to tell bits and pieces of the story. Once you start figuring out what's going on, you can't stop thinking about it or trying to find out more. It's like reading a good book, except you get to explore it all on your own at your own pace. The game left me with a sense of wonder and a lot of questions to think about. For instance, one of the main conflicts of the game is about sacrifice. Children are sacrificed to become void creatures in order to contain the Radiance, a deadly infection that would wipe out this whole world if left to spread. It's a similar problem to the trolley problem in philosophy.","Hollow Knight","The game was aesthetically very pleasing, for one. All of the creative parts of the game felt imaginative and evoked emotion. It also left me thinking about big questions. The game is very beautifully crafted to be an immersive experience that you can get lost in and live out this life in the shoes of an empty void creatures who was sacrificed to save a whole kingdom that still eventually started falling. I think the part that made me feel like the game was art the most was the world building. It combines great writing, great music and great visuals.","2-11 months ago","No","During the general gameplay",NA,"I think it's up to subjective interpretation. The creators of the game don't consider any one of the endings of the game a ""true ending"". You have to decide to either try and defeat the infection to end this cycle, try to contain the infection within yourself in order to buy more time for the kingdom or become one with the void you were cast into as a child. That's really the big moral thing about the game, and the purpose is to consider the possibilities for yourself. With the game being as immersive as it is, the choices really feel like they have some weight. The game is also pretty difficult. The easiest ending is to stagnate things, and the hardest is to fight to end the infection. I think what the game means for me is that sometimes, there is no easy and kind way out of a situation. Some tragedies are bound to have victims and it's all we can do to try and minimize suffering. It's kind of bleak, to be honest. It also means to me that enacting change is very difficult, and you always have to kind of consider whether it's worth it to attempt it.","Yes","I started off thinking it was just an aesthetically pleasing metroidvania. Now I view it as a beautiful, thought-provoking piece of art.","Yes","It definitely made me think about moralities in a different, more concrete way. I think it's more concrete to me now that everything has a certain cost, and you can't always change everything you want to.","Yes","I didn't think before that I could get as invested in a game's story as I did for this one. I really enjoy a good book and I didn't think I could get an experience that parallels books from a game mostly focused on platforming and defeating bosses.","Yes","The creators have themselves said that they wanted to make a world that the player could get lost exploring, so at least that part of the experience was intended. I also don't think that meanings and themes this big would be in the game just by accident, not really meant to be experienced in a powerful way.","N/A",NA,NA,NA,"N/A",NA,"Hollow Knight","Persona 5","Ratchet and Clank: A Crack in Time","The Sims 4","Animal Crossing: New Horizons"
"28",81,"Yes","I experienced it as art because the game itself was very atmospheric, and the story and art style of the game was very emotive. I also liked that it made me think about things in a new way, as all good art does. It gave me the same feeling as visiting a gallery exhibition - like I understand another perspective on the world through the things I have seen. I felt like I understood the experience of living in a warzone much better, but more than that, I felt like the emotion had been captured and the bleak hopelessness mixed with hope that civilians experience came across as I played. The game itself had challenges and moral choices to be made, but gameplay wasn't difficult - I think that also contributed. If I'd been caught up in trying to WIN, I might not have paid so much attention to the feelings the game was creating.","This War of Mine","The fact that it gave me the same feeling as going to a gallery. A broadening of understanding, and a new perspective on events I have never seen (although art can be something I relate to as well, in this case it wasn't because I've never been in a warzone).","1-2 years ago","Yes","Other","Throughout, but especially at the end. Every time I play it I experience the art again.","That the game was very good and deserved all the positive reviews it had gotten. It meant that the creators had put a lot of work and effort into creating atmosphere and story, and that work had paid off.","Yes","Without the experience, it was just a kind of mildly interesting survival game with a unique take on the perspective you play from (i.e. playing as a civilian). With it, it makes the game a work of art and deeply emotive and atmospheric, and very powerful. It means the game and my shift in emotion and perspective has stayed with me for years afterwards.","Yes","For the next day I was very moved. I had a new perspective and I was deeply saddened by everything in the game I had experienced, and the struggle of the characters I had witnessed. I was already aware that people in warzones suffered atrocities and deserved compassion, but this was an entirely new level of awareness of how tough it is to survive and how families and people are tested and sometimes destroyed in cruel ways.","Yes","I previously believed games could be works of art, but this is the first game I've ever played that moved me and made me think that games can change people's perspectives and can be that powerful. This game is a powerful work of art, not just a playful and beautiful thing but a dark and moving one that I wasn't sure was possible.","Yes","If you look at the art style and the story the game tells, you KNOW it was set up to have that huge emotional hit. There is no other reason they would have done that. They also include facts in the game, and links to charities, so it is obviously intended to inspire emotional change. Also, I've read interviews with the developers where they explain what they were going for - dark, atmospheric, emotional impact, new perspective and understanding ... in short, everything that I experienced.","N/A",NA,NA,NA,"N/A",NA,"Rimworld","The Witcher series","Crusader Kings II",NA,NA
